,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.78,147.06,65.77,77,75,3.36,AU,1569036937
1,vaini,15.34,74.49,73.4,88,40,11.41,IN,1569036940
2,punta arenas,-53.16,-70.91,33.37,74,20,24.16,CL,1569036719
3,marsh harbour,26.54,-77.06,79.9,79,100,28.32,BS,1569036942
4,laguna,16.17,-88.94,77.0,100,0,2.8,BZ,1569036944
5,kodiak,39.95,-94.76,72.7,83,90,11.41,US,1569036946
6,okhotsk,59.36,143.24,50.56,67,100,3.6,RU,1569036947
7,rikitea,-23.12,-134.97,74.32,89,83,14.76,PF,1569036949
8,brae,60.4,-1.35,49.75,93,0,2.24,GB,1569036950
9,tual,-5.67,132.75,77.38,85,9,14.23,ID,1569036951
10,havre-saint-pierre,50.23,-63.6,46.4,81,20,7.4,CA,1569036957
11,tiksi,71.64,128.87,38.68,88,93,6.91,RU,1569036958
12,yellowknife,62.45,-114.38,46.18,87,75,8.05,CA,1569036959
13,hellvik,59.92,5.78,45.77,93,20,3.36,NO,1569036961
14,demmin,53.91,13.03,56.44,82,75,8.05,DE,1569036962
15,paamiut,61.99,-49.67,40.12,90,100,32.61,GL,1569036859
16,faanui,-16.48,-151.75,78.82,78,100,12.03,PF,1569036740
17,chokurdakh,70.62,147.9,35.98,55,0,6.71,RU,1569036727
18,coquimbo,-29.95,-71.34,51.8,81,0,3.36,CL,1569036966
19,seminole,32.72,-102.64,72.9,78,1,6.93,US,1569036967
20,leshukonskoye,64.9,45.76,35.98,95,100,7.96,RU,1569036973
21,nouadhibou,20.93,-17.03,69.8,83,0,3.36,MR,1569036974
22,sao raimundo das mangabeiras,-7.02,-45.48,87.46,31,95,4.05,BR,1569036976
23,ribeira grande,38.52,-28.7,68.74,69,53,22.48,PT,1569036977
24,saskylakh,71.97,114.09,38.14,65,46,26.11,RU,1569036978
25,san ramon,12.92,-85.84,66.76,97,98,2.57,NI,1569036979
26,jamestown,-33.21,138.6,56.68,49,12,17.4,AU,1569036980
27,makakilo city,21.35,-158.09,82.02,55,40,10.29,US,1569036981
28,bosaso,11.28,49.18,85.3,80,0,11.77,SO,1569036983
29,aklavik,68.22,-135.01,48.2,70,75,11.41,CA,1569036984
30,los llanos de aridane,28.66,-17.92,69.8,77,0,5.82,ES,1569036990
31,inhambane,-23.87,35.38,62.08,96,0,4.21,MZ,1569036991
32,ponta do sol,-20.63,-46.0,73.06,29,36,2.51,BR,1569036992
33,vostok,46.45,135.83,43.72,97,100,1.32,RU,1569036993
34,broome,52.47,1.45,55.63,93,0,8.05,GB,1569036994
35,dikson,73.51,80.55,37.06,86,100,22.3,RU,1569036996
36,laibin,23.74,109.23,77.38,61,0,14.27,CN,1569036998
37,cape town,-33.93,18.42,56.88,82,20,8.05,ZA,1569036999
38,qaanaaq,77.48,-69.36,19.78,40,0,6.33,GL,1569037000
39,sept-iles,50.2,-66.38,59.0,44,5,6.93,CA,1569037001
40,lompoc,34.64,-120.46,64.42,72,1,5.82,US,1569036729
41,rapid valley,44.06,-103.15,57.69,100,90,11.41,US,1569037008
42,hithadhoo,-0.6,73.08,82.06,73,46,10.4,MV,1569037010
43,half moon bay,37.46,-122.43,66.15,93,20,5.08,US,1569037011
44,bredasdorp,-34.53,20.04,48.2,87,9,6.93,ZA,1569037012
45,batemans bay,-35.71,150.18,62.01,86,100,8.01,AU,1569037013
46,emerald,-23.53,148.16,80.73,23,0,12.75,AU,1569037014
47,albany,42.65,-73.75,54.1,87,20,3.76,US,1569037015
48,zhigansk,66.77,123.37,41.92,55,0,16.4,RU,1569037017
49,avera,33.19,-82.53,68.7,78,90,4.7,US,1569037024
50,castro,-42.48,-73.76,44.6,93,90,4.7,CL,1569037030
51,dunedin,-45.87,170.5,55.0,68,0,5.01,NZ,1569037031
52,mount gambier,-37.83,140.78,53.6,71,90,16.11,AU,1569037033
53,koundara,12.49,-13.3,73.06,98,100,3.11,GN,1569037035
54,kalmunai,7.42,81.82,84.58,67,100,0.49,LK,1569037036
55,lebu,8.96,38.73,59.0,93,75,1.79,ET,1569036757
56,mahebourg,-20.41,57.7,69.33,73,20,9.17,MU,1569037038
57,kaitangata,-46.28,169.85,53.01,70,0,8.99,NZ,1569037039
58,nokha,27.56,73.47,87.28,46,0,6.58,IN,1569036837
59,kondapalle,16.59,80.52,86.0,79,75,5.82,IN,1569037041
60,kavieng,-2.57,150.8,84.22,70,32,7.81,PG,1569037048
61,ayan,38.23,44.7,75.2,27,0,9.17,IR,1569037049
62,whitianga,-36.83,175.7,59.02,54,4,4.32,NZ,1569036764
63,klaksvik,62.23,-6.59,53.6,87,0,13.87,FO,1569037023
64,champerico,16.38,-93.6,78.8,74,40,13.87,MX,1569037053
65,atuona,-9.8,-139.03,80.62,75,11,16.78,PF,1569037054
66,beloha,-25.17,45.06,63.88,85,5,14.43,MG,1569037055
67,katherine,-14.47,132.26,89.6,33,40,6.93,AU,1569037057
68,kahului,20.89,-156.47,80.58,62,20,21.92,US,1569037058
69,lagoa,37.14,-8.45,68.59,88,75,5.82,PT,1569036824
70,egvekinot,66.32,-179.17,31.84,65,99,5.23,RU,1569036873
71,severomuysk,56.17,113.57,37.42,99,99,5.44,RU,1569037066
72,barrow,-38.31,-60.23,50.02,33,0,15.37,AR,1569037067
73,toamasina,-18.17,49.38,66.2,93,75,4.7,MG,1569037068
74,balaka,-14.99,34.96,57.4,56,0,4.61,MW,1569037069
75,juan lacaze,-34.43,-57.44,48.99,56,0,3.0,UY,1569037070
76,hobart,-42.88,147.33,65.57,77,75,3.36,AU,1569036823
77,hamilton,43.26,-79.87,65.07,68,75,3.36,CA,1569036964
78,ushuaia,-54.81,-68.31,32.0,93,90,32.21,AR,1569037074
79,cayenne,4.94,-52.33,78.8,88,75,2.24,GF,1569037075
80,kapaa,22.08,-159.32,81.41,78,75,14.99,US,1569037036
81,butaritari,3.07,172.79,84.58,66,53,13.42,KI,1569037082
82,narsaq,60.91,-46.05,39.2,69,75,3.36,GL,1569037083
83,annan,27.51,119.05,69.64,59,25,6.53,CN,1569037084
84,paita,-5.09,-81.11,61.54,93,100,14.76,PE,1569037085
85,sitka,37.17,-99.65,73.99,77,2,13.0,US,1569037087
86,ekhabi,53.51,142.97,56.14,63,20,9.42,RU,1569037088
87,kirensk,57.78,108.12,57.76,71,100,12.03,RU,1569037089
88,vila franca do campo,37.72,-25.43,69.53,68,40,14.99,PT,1569037090
89,campbellton,48.0,-66.68,54.16,97,2,4.47,CA,1569037091
90,davidson,51.26,-105.98,62.01,62,0,3.0,CA,1569037097
91,avarua,-21.21,-159.78,75.2,57,76,9.17,CK,1569037099
92,idrinskoye,54.37,92.14,55.06,69,100,2.8,RU,1569037100
93,madison,43.07,-89.38,70.81,88,75,4.7,US,1569036836
