,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.16,-70.91,46.22,75,75,26.4,CL,1555733589
1,aksu,52.04,76.93,33.8,55,90,11.18,KZ,1555731000
2,aksarka,66.56,67.8,11.87,87,14,2.1,RU,1555733674
3,longyearbyen,78.22,15.63,30.2,92,75,6.93,NO,1555728600
4,yellowknife,62.45,-114.38,29.21,68,90,11.41,CA,1555733568
5,mathbaria,22.29,89.96,93.43,27,0,6.67,BD,1555733910
6,tilichiki,60.47,166.1,39.2,66,52,9.19,RU,1555733910
7,siderno,38.28,16.3,51.67,93,75,2.24,IT,1555733727
8,gravdal,59.79,5.78,42.93,70,0,12.75,NO,1555733887
9,rio cuarto,-33.13,-64.35,68.0,77,75,3.36,AR,1555729200
10,rikitea,-23.12,-134.97,79.07,79,5,11.79,PF,1555733631
11,avarua,-21.21,-159.78,77.0,57,100,4.7,CK,1555731000
12,dwarka,28.58,77.04,82.29,47,0,3.36,IN,1555732808
13,tuatapere,-46.13,167.69,55.99,83,92,0.87,NZ,1555733407
14,khatanga,71.98,102.47,3.54,86,0,5.41,RU,1555733916
15,hobart,-42.88,147.33,71.35,46,20,11.41,AU,1555733655
16,avera,33.19,-82.53,54.25,76,40,12.75,US,1555733881
17,souillac,45.6,-0.6,51.55,71,0,2.24,FR,1555733763
18,mataura,-46.19,168.86,55.99,83,100,2.46,NZ,1555733407
19,la orilla,18.0,-102.23,75.45,75,59,2.62,MX,1555733917
20,chokurdakh,70.62,147.9,11.57,83,43,5.26,RU,1555733619
21,kapaa,22.08,-159.32,76.77,61,1,16.11,US,1555733901
22,kidal,18.44,1.41,83.98,9,0,7.45,ML,1555733922
23,yinchuan,38.48,106.21,65.28,24,100,3.58,CN,1555733922
24,busselton,-33.64,115.35,60.98,48,95,16.17,AU,1555733739
25,faanui,-16.48,-151.75,84.11,71,100,7.05,PF,1555733636
26,acajutla,13.59,-89.83,83.37,74,98,8.12,SV,1555733923
27,akdepe,42.05,59.39,40.24,64,75,9.17,TM,1555731000
28,mackenzie,55.34,-123.09,42.8,45,20,8.05,CA,1555729200
29,broken hill,-31.97,141.45,84.2,21,0,12.75,AU,1555729200
30,vostok,46.45,135.83,48.18,30,0,4.7,RU,1555733928
31,vaini,15.34,74.49,78.8,69,20,6.93,IN,1555729200
32,manica,-18.94,32.88,62.6,100,75,4.7,MZ,1555732800
33,hilo,19.71,-155.08,72.46,61,20,9.17,US,1555733602
34,bondo,3.81,23.69,69.69,93,100,1.21,CD,1555733702
35,dingle,11.0,122.67,94.58,37,0,10.18,PH,1555733929
36,new norfolk,-42.78,147.06,72.16,46,20,11.41,AU,1555733700
37,byumba,-1.58,30.06,62.26,82,40,5.82,RW,1555733571
38,albany,42.65,-73.75,65.28,82,90,18.34,US,1555733854
39,caravelas,-17.73,-39.27,78.0,86,0,3.0,BR,1555733935
40,castro,-42.48,-73.76,42.8,87,29,4.7,CL,1555729200
41,guerrero negro,27.97,-114.04,61.7,85,91,12.37,MX,1555733940
42,ostrovnoy,68.05,39.51,29.67,89,6,11.45,RU,1555733940
43,cherskiy,68.75,161.3,8.42,82,77,2.93,RU,1555733940
44,camopi,3.17,-52.33,73.09,99,100,1.99,GF,1555733940
